tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Rua,Jafa,19,Magalhaes Bastos,21735070,-22.865731,-43.418805
Rua,Jafa,31,Magalhaes Bastos,21735070,-22.865889,-43.418823
Rua,Davila,0,Santa Cruz,23550695,-22.935979,-43.696894
Rua,Pernambuco de Oliveira,105,Cosmos,23061380,-22.911760,-43.622183
Rua,Registro,22,Senador Camara,21832270,-22.892756,-43.492641
Rua,Registro,4,Senador Camara,21832270,-22.892992,-43.492126
Rua,Registro,1000,Senador Camara,21832270,-22.891685,-43.492772
Rua,Camaroes,12,Vila Kennedy,21852560,-22.861856,-43.492645
Rua,Camaroes,16,Vila Kennedy,21852560,-22.861896,-43.492350
Rua,Camaroes,38,Vila Kennedy,21852560,-22.861698,-43.491650
Rua,Camaroes,20,Vila Kennedy,21852560,-22.861739,-43.492145
Rua,Correa Dias,1227,Vigario Geral,21241310,-22.812243,-43.315371
Rua,Correa Dias,1207,Vigario Geral,21241310,-22.812102,-43.315269
Rua,Correa Dias,1197,Vigario Geral,21241310,-22.812147,-43.315211
Rua,Correa Dias,1029,Vigario Geral,21241310,-22.811566,-43.313885
